,Name of Professor,Description
0,Anima Anandkumar,Bren Professor of Computing and Mathematical Sciences
1,Prabha R. Acharya,Software Systems Developer
2,Piyush S. Agram,Visiting Associate in Geophysics
3,Rayomand (Rayo) Bhadha,Seismic Network Technical Manager
4,Aparna Bhaskaran,Database Analyst/Software Developer
5,Rana Adhikari,Professor of Physics
6,Sunil Golwala,"Professor of Physics; Director, Caltech Submillimeter Observatory; Deputy Executive Officer for Astrophysics"
7,Mansi M. Kasliwal,Assistant Professor of Astronomy
8,Shrinivas R. (Shri) Kulkarni,George Ellery Hale Professor of Astronomy and Planetary Science
9,Dinakar Ramakrishnan,Taussky-Todd-Lonergan Professor of Mathematics
10,Vikram Ravi,Assistant Professor of Astronomy
